PT_ID,SCHOOL,ZONE,CLUSTER,GROUP_ID,PRI,SEC,n_STALLS,n_PASS,TIER_SCORE,TIER,latitude,longitude
163,RIVERSIDE PRIMARY SCHOOL,NORTH,N7,14,1,0,5,2,0.4,D,1.4472779,103.8018321
164,SI LING PRIMARY SCHOOL,NORTH,N7,14,1,0,6,2,0.333333333,D,1.43275475,103.7857624
165,WELLINGTON PRIMARY SCHOOL,NORTH,N7,14,1,0,7,1,0.142857143,E,1.4521303,103.8224227
166,WOODGROVE SECONDARY SCHOOL,NORTH,N7,14,0,1,8,5,0.625,C,1.42833185,103.7965492
167,WOODLANDS PRIMARY SCHOOL,NORTH,N7,14,1,0,6,2,0.333333333,D,1.43669555,103.7916902
168,WOODLANDS RING SECONDARY SCHOOL,NORTH,N7,14,0,1,8,2,0.25,D,1.436023,103.8004353
169,ANG MO KIO PRIMARY SCHOOL,SOUTH,S1,15,1,0,6,2,0.142857143,E,1.368953,103.8393687
170,ANG MO KIO SECONDARY SCHOOL,SOUTH,S1,15,0,1,8,3,0.375,D,1.3676706,103.842545
171,CHIJ OUR LADY OF THE NATIVITY,SOUTH,S1,15,1,0,6,3,0.5,C,1.37311065,103.8976899
172,HOLY INNOCENTS' HIGH SCHOOL,SOUTH,S1,15,0,1,7,4,0.571428571,C,1.3716598,103.8957436
173,HOLY INNOCENTS' PRIMARY SCHOOL,SOUTH,S1,15,1,0,8,2,0.375,D,1.36708755,103.8938822
174,JING SHAN PRIMARY SCHOOL,SOUTH,S1,15,1,0,6,2,0.333333333,D,1.37216635,103.8520081
175,MAYFLOWER PRIMARY SCHOOL,SOUTH,S1,15,1,0,6,3,0.5,C,1.37631785,103.8355619
176,MAYFLOWER SECONDARY SCHOOL,SOUTH,S1,15,0,1,7,3,0.428571429,D,1.36906525,103.8357708
177,PRESBYTERIAN HIGH SCHOOL,SOUTH,S1,15,0,1,9,6,0.666666667,C,1.3832006,103.8428599
178,PUNGGOL PRIMARY SCHOOL,SOUTH,S1,15,1,0,6,2,0.142857143,E,1.37813115,103.8947545
179,SERANGOON GARDEN SECONDARY SCHOOL,SOUTH,S1,15,0,1,9,1,0.111111111,E,1.3696622,103.8689838
180,YIO CHU KANG SECONDARY SCHOOL,SOUTH,S1,15,0,1,8,2,0.25,D,1.37847985,103.842108
181,ANGLO-CHINESE SCHOOL (INDEP),SOUTH,S2,16,0,1,11,4,0.076923077,E,1.30322315,103.7806778
182,BLANGAH RISE PRIMARY SCHOOL,SOUTH,S2,16,1,0,3,3,1,A,1.27640575,103.80881
183,BUKIT MERAH SECONDARY SCHOOL,SOUTH,S2,16,0,1,8,4,0.5,C,1.28589275,103.8129925
184,CRESCENT GIRLS' SCHOOL,SOUTH,S2,16,0,1,8,5,0.625,C,1.2934392,103.8180238
185,FAIRFIELD METHODIST SCHOOL (PRI),SOUTH,S2,16,1,0,8,5,0.625,C,1.3012022,103.7860313
186,FAIRFIELD METHODIST SCHOOL (SEC),SOUTH,S2,16,0,1,7,4,0.571428571,C,1.3020215,103.7843993
187,KENT RIDGE SECONDARY SCHOOL,SOUTH,S2,16,0,1,8,4,0.5,C,1.3013316,103.7650463
188,NEW TOWN PRIMARY SCHOOL,SOUTH,S2,16,1,0,4,1,0.25,D,1.29981365,103.79984
189,PEI TONG PRIMARY SCHOOL,SOUTH,S2,16,1,0,7,2,0.285714286,D,1.3162677,103.7677645
